Aug 24 00:21:58 raspberrypi gud-drm[2360]: 2026-08-23T23:21:58.647771Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=823 receiver_state=InFlight
Aug 24 00:21:58 raspberrypi gud-drm[2360]: 2026-08-23T23:21:58.667837Z  INFO gud_drm: frame_stats payload_seq=823 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=5 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=9 usb_mib_s=1.38
Aug 24 00:21:58 raspberrypi gud-drm[2360]: 2026-08-23T23:21:58.668003Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=823 accepted_transactions=823 rejected_busy_transactions=0 aio_submission_attempts=823 aio_accepted=823 aio_completed=823 processing_started=823 processing_completed=823 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=823 last_sequence=823 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24708 processing_ms_total=11100 complete_transaction_ms_total=11101
Aug 24 00:21:59 raspberrypi gud-drm[2360]: 2026-08-23T23:21:59.643886Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=824 receiver_state=InFlight
Aug 24 00:21:59 raspberrypi gud-drm[2360]: 2026-08-23T23:21:59.664435Z  INFO gud_drm: frame_stats payload_seq=824 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=5 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=10 usb_mib_s=1.38
Aug 24 00:21:59 raspberrypi gud-drm[2360]: 2026-08-23T23:21:59.664598Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=824 accepted_transactions=824 rejected_busy_transactions=0 aio_submission_attempts=824 aio_accepted=824 aio_completed=824 processing_started=824 processing_completed=824 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=824 last_sequence=824 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24718 processing_ms_total=11110 complete_transaction_ms_total=11111
Aug 24 00:22:00 raspberrypi gud-drm[2360]: 2026-08-23T23:22:00.644696Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=825 receiver_state=InFlight
Aug 24 00:22:00 raspberrypi gud-drm[2360]: 2026-08-23T23:22:00.664805Z  INFO gud_drm: frame_stats payload_seq=825 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=5 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=9 usb_mib_s=1.38
Aug 24 00:22:00 raspberrypi gud-drm[2360]: 2026-08-23T23:22:00.664976Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=825 accepted_transactions=825 rejected_busy_transactions=0 aio_submission_attempts=825 aio_accepted=825 aio_completed=825 processing_started=825 processing_completed=825 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=825 last_sequence=825 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24728 processing_ms_total=11119 complete_transaction_ms_total=11120
Aug 24 00:22:01 raspberrypi gud-drm[2360]: 2026-08-23T23:22:01.640916Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=826 receiver_state=InFlight
