timestamp,run,source_bytes,payload_bytes,rectangles,compressed,raw,planner_us,set_buffer_us,bulk_wait_us,transfer_us
6550.266963,managed-fullframe-lz4,3686400,2846188,1,1,0,39860,1212,70492,112348
6550.384081,managed-fullframe-lz4,3686400,2846081,1,1,0,39800,1917,70773,113268
6550.502991,managed-fullframe-lz4,3686400,2846277,1,1,0,39870,4287,70215,115149
6550.643546,managed-fullframe-lz4,3686400,2846277,1,1,0,40935,1096,70793,113616
6550.762836,managed-fullframe-lz4,3686400,2846277,1,1,0,39838,3854,70327,114834
6550.902536,managed-fullframe-lz4,3686400,2846277,1,1,0,39927,3797,70191,114731
6551.068538,managed-fullframe-lz4,3686400,2846217,1,1,0,66533,3868,70427,141606
6551.231249,managed-fullframe-lz4,3686400,2846483,1,1,0,63406,3958,70202,138372
6551.369562,managed-fullframe-lz4,3686400,2846635,1,1,0,61975,1524,70138,134445
6551.510401,managed-fullframe-lz4,3686400,2846259,1,1,0,62443,3887,70195,137357
6551.670789,managed-fullframe-lz4,3686400,2846260,1,1,0,58100,1394,70132,130508
6551.801457,managed-fullframe-lz4,3686400,2846262,1,1,0,49808,3750,70346,125121
6551.968877,managed-fullframe-lz4,3686400,2846262,1,1,0,67377,3740,70689,142597
6552.085884,managed-fullframe-lz4,3686400,2846609,1,1,0,39701,2494,70261,113378
6552.203996,managed-fullframe-lz4,3686400,2846707,1,1,0,39747,3878,70253,114656
6552.343765,managed-fullframe-lz4,3686400,2846819,1,1,0,39571,1342,70206,111926
6552.461616,managed-fullframe-lz4,3686400,2846941,1,1,0,39749,2239,71418,114183
6552.580758,managed-fullframe-lz4,3686400,2846941,1,1,0,39918,4241,70689,115612
6552.720004,managed-fullframe-lz4,3686400,2846941,1,1,0,39724,1407,70290,112194
6552.838248,managed-fullframe-lz4,3686400,2846884,1,1,0,39583,3730,70273,114744
6553.006860,managed-fullframe-lz4,3686400,2846884,1,1,0,68366,3778,70694,144252
6553.161728,managed-fullframe-lz4,3686400,2442327,1,1,0,61538,3598,60312,126130
6553.321005,managed-fullframe-lz4,3686400,2482455,1,1,0,65892,3934,61203,131905
6553.496464,managed-fullframe-lz4,3686400,2482455,1,1,0,79033,2268,61167,143284
6553.626289,managed-fullframe-lz4,3686400,2482455,1,1,0,60314,3438,61074,125539
6553.784582,managed-fullframe-lz4,3686400,2482493,1,1,0,62017,3651,61357,127779
6553.941974,managed-fullframe-lz4,3686400,2481633,1,1,0,64753,3323,61105,129930
6554.101861,managed-fullframe-lz4,3686400,2481648,1,1,0,63692,3560,61174,129117
6554.260369,managed-fullframe-lz4,3686400,2481647,1,1,0,65390,3558,61191,130858
6554.412657,managed-fullframe-lz4,3686400,2481647,1,1,0,54052,3796,61163,119726
6554.579347,managed-fullframe-lz4,3686400,2481647,1,1,0,74371,3276,61218,139552
6554.721920,managed-fullframe-lz4,3686400,2481647,1,1,0,44711,3907,61655,111054
6554.896518,managed-fullframe-lz4,3686400,2481647,1,1,0,80710,3304,61235,145926
6555.058101,managed-fullframe-lz4,3686400,2481647,1,1,0,68394,3328,61333,133737
6555.220857,managed-fullframe-lz4,3686400,2480973,1,1,0,65401,3579,61285,131154
6555.381500,managed-fullframe-lz4,3686400,2480973,1,1,0,67020,3295,61315,132338
6555.543718,managed-fullframe-lz4,3686400,2480973,1,1,0,65654,3181,61293,131020
6555.667636,managed-fullframe-lz4,3686400,2480973,1,1,0,55340,3521,61121,120676
6555.824832,managed-fullframe-lz4,3686400,2480243,1,1,0,60639,3602,61075,126016
6555.981179,managed-fullframe-lz4,3686400,2480243,1,1,0,63342,3416,61107,128619
6556.142138,managed-fullframe-lz4,3686400,2480243,1,1,0,64276,3535,61067,129564
6556.320861,managed-fullframe-lz4,3686400,2479422,1,1,0,86255,3319,61342,151613
6556.460247,managed-fullframe-lz4,3686400,2478540,1,1,0,42962,3784,61163,108594
6556.585118,managed-fullframe-lz4,3686400,2478540,1,1,0,56602,3248,61072,121675
6556.738528,managed-fullframe-lz4,3686400,2478540,1,1,0,59107,3639,61234,125637
6556.887313,managed-fullframe-lz4,3686400,2478540,1,1,0,54897,3284,61217,120119
6557.042402,managed-fullframe-lz4,3686400,2478540,1,1,0,62304,3213,61322,127529
6557.218129,managed-fullframe-lz4,3686400,2478540,1,1,0,78613,3597,61273,144161
6557.382786,managed-fullframe-lz4,3686400,2481903,1,1,0,69171,3874,61409,135221
6557.563780,managed-fullframe-lz4,3686400,2481521,1,1,0,84035,3443,61078,149321
6557.731928,managed-fullframe-lz4,3686400,2479388,1,1,0,74873,3582,61311,140575
6557.910082,managed-fullframe-lz4,3686400,2889993,1,1,0,70690,3799,71446,146820
6558.023138,managed-fullframe-lz4,3686400,1932645,1,1,0,58912,2662,47363,109507
6558.150307,managed-fullframe-lz4,3686400,1876363,1,1,0,58201,2923,46204,107905
6558.276852,managed-fullframe-lz4,3686400,1876420,1,1,0,54834,2798,46443,104626
6558.398406,managed-fullframe-lz4,3686400,1876420,1,1,0,51052,2537,46134,100497
6558.519553,managed-fullframe-lz4,3686400,1876420,1,1,0,51507,2677,46305,101359
6558.633094,managed-fullframe-lz4,3686400,1876420,1,1,0,42930,2701,46276,93570
6558.756127,managed-fullframe-lz4,3686400,1876363,1,1,0,54127,2600,46209,103543
6558.876416,managed-fullframe-lz4,3686400,1876363,1,1,0,52063,2558,46054,101241
6558.987301,managed-fullframe-lz4,3686400,1876363,1,1,0,42552,2725,46170,92156
6559.099797,managed-fullframe-lz4,3686400,1876363,1,1,0,43884,2491,46073,92993
6559.209253,managed-fullframe-lz4,3686400,1876362,1,1,0,41253,2693,46252,90697
6559.325644,managed-fullframe-lz4,3686400,1876362,1,1,0,48427,2495,46133,97651
6559.431042,managed-fullframe-lz4,3686400,1876362,1,1,0,36619,3093,46033,86285
6559.536337,managed-fullframe-lz4,3686400,1876362,1,1,0,36437,2828,46174,85986
6559.664637,managed-fullframe-lz4,3686400,2774353,1,1,0,37233,3353,68311,109688
6559.701256,managed-fullframe-lz4,3686400,427076,1,1,0,6773,16302,10525,33767
6559.745070,managed-fullframe-lz4,3686400,435763,1,1,0,13371,3345,10677,27567
6559.783826,managed-fullframe-lz4,3686400,442757,1,1,0,13575,1070,10884,25694
6559.820193,managed-fullframe-lz4,3686400,442900,1,1,0,11477,958,10855,23473
6559.859917,managed-fullframe-lz4,3686400,442900,1,1,0,14003,988,10865,26052
6559.899418,managed-fullframe-lz4,3686400,442884,1,1,0,14124,1017,10861,26196
6559.939091,managed-fullframe-lz4,3686400,442814,1,1,0,14080,1014,10883,26173
6559.978724,managed-fullframe-lz4,3686400,442748,1,1,0,14148,1080,10910,26322
6560.018577,managed-fullframe-lz4,3686400,442748,1,1,0,13748,969,10915,25815
6560.057459,managed-fullframe-lz4,3686400,442752,1,1,0,13660,1016,10887,25775
6560.096919,managed-fullframe-lz4,3686400,442752,1,1,0,13781,1065,10957,25983
6560.136324,managed-fullframe-lz4,3686400,442752,1,1,0,13743,1017,10846,25785
6560.175961,managed-fullframe-lz4,3686400,442752,1,1,0,13959,947,10847,25939
6560.215352,managed-fullframe-lz4,3686400,442752,1,1,0,14001,1060,10855,26099
6560.253880,managed-fullframe-lz4,3686400,442752,1,1,0,13315,1015,10916,25426
6560.295031,managed-fullframe-lz4,3686400,442752,1,1,0,14701,1020,10874,26780
6560.333712,managed-fullframe-lz4,3686400,442752,1,1,0,13453,1004,10913,25545
6560.369859,managed-fullframe-lz4,3686400,442752,1,1,0,11280,1029,10836,23312
6560.411049,managed-fullframe-lz4,3686400,442752,1,1,0,11948,952,10881,23950
6560.451323,managed-fullframe-lz4,3686400,442752,1,1,0,14710,1114,11241,27308
6560.486842,managed-fullframe-lz4,3686400,442752,1,1,0,8233,1013,10894,20311
6560.521946,managed-fullframe-lz4,3686400,442865,1,1,0,9120,982,10885,21153
6560.560385,managed-fullframe-lz4,3686400,442865,1,1,0,12600,1060,10890,24735
6560.599584,managed-fullframe-lz4,3686400,442865,1,1,0,13601,952,10864,25599
6560.638293,managed-fullframe-lz4,3686400,442865,1,1,0,13585,1013,10900,25696
6560.677643,managed-fullframe-lz4,3686400,442865,1,1,0,14111,969,10917,26184
6560.714241,managed-fullframe-lz4,3686400,442865,1,1,0,11197,1061,10898,23373
6560.751961,managed-fullframe-lz4,3686400,442865,1,1,0,12449,1028,10860,24527
6560.787321,managed-fullframe-lz4,3686400,442865,1,1,0,10245,1061,10871,22354
6560.825515,managed-fullframe-lz4,3686400,442865,1,1,0,11815,1141,10917,24040
6560.865918,managed-fullframe-lz4,3686400,447666,1,1,0,14434,1001,11025,26696
6560.906086,managed-fullframe-lz4,3686400,447480,1,1,0,14875,958,10970,26988
6560.943976,managed-fullframe-lz4,3686400,447480,1,1,0,12442,976,10985,24577
6560.981929,managed-fullframe-lz4,3686400,446964,1,1,0,12872,1019,10950,25039
6561.032430,managed-fullframe-lz4,3686400,445647,1,1,0,24607,1028,10926,36717
6561.069337,managed-fullframe-lz4,3686400,441087,1,1,0,12287,1048,10818,24324
6561.110982,managed-fullframe-lz4,3686400,440945,1,1,0,11910,1208,10880,24274
6561.149233,managed-fullframe-lz4,3686400,440945,1,1,0,12895,999,10815,24887
6561.188200,managed-fullframe-lz4,3686400,440927,1,1,0,13981,944,10783,25893
6561.227940,managed-fullframe-lz4,3686400,440967,1,1,0,14239,1011,10775,26195
6561.267321,managed-fullframe-lz4,3686400,440993,1,1,0,12819,1186,11798,25980
6561.314058,managed-fullframe-lz4,3686400,440993,1,1,0,21261,1135,10877,33437
6561.358887,managed-fullframe-lz4,3686400,440323,1,1,0,16764,1017,11057,28993
6561.397429,managed-fullframe-lz4,3686400,440958,1,1,0,12414,1007,10762,24370
6561.437589,managed-fullframe-lz4,3686400,441083,1,1,0,14363,1116,10868,26569
6561.478506,managed-fullframe-lz4,3686400,441083,1,1,0,14604,1006,10866,26673
6561.517867,managed-fullframe-lz4,3686400,441037,1,1,0,14124,966,10800,26068
6561.558070,managed-fullframe-lz4,3686400,440856,1,1,0,14842,955,10881,26947
6561.597295,managed-fullframe-lz4,3686400,440847,1,1,0,13782,1056,10822,25842
6561.637950,managed-fullframe-lz4,3686400,440833,1,1,0,14599,993,10880,26655
6561.675144,managed-fullframe-lz4,3686400,440833,1,1,0,12092,983,10802,24048
6561.713192,managed-fullframe-lz4,3686400,440943,1,1,0,13132,999,10751,25049
6561.750759,managed-fullframe-lz4,3686400,440869,1,1,0,12317,994,10811,24363
6561.790197,managed-fullframe-lz4,3686400,436800,1,1,0,14521,966,10687,26354
6561.827129,managed-fullframe-lz4,3686400,436800,1,1,0,11674,961,10754,23561
6561.865482,managed-fullframe-lz4,3686400,436848,1,1,0,13755,968,10686,25650
6561.914981,managed-fullframe-lz4,3686400,507063,1,1,0,21786,1305,12614,35885
6561.958044,managed-fullframe-lz4,3686400,529497,1,1,0,14470,1060,12948,28669
6561.999443,managed-fullframe-lz4,3686400,529497,1,1,0,11565,1465,12974,26177
6562.045819,managed-fullframe-lz4,3686400,529574,1,1,0,17798,1148,12960,32100
6562.089103,managed-fullframe-lz4,3686400,531008,1,1,0,12440,1023,13039,26689
6562.130859,managed-fullframe-lz4,3686400,526298,1,1,0,13414,1093,12870,27592
6562.175493,managed-fullframe-lz4,3686400,526330,1,1,0,16445,1093,12917,30663
6562.220455,managed-fullframe-lz4,3686400,526244,1,1,0,16639,1084,12914,30849
6562.263238,managed-fullframe-lz4,3686400,526244,1,1,0,8735,1228,12865,23003
6562.308251,managed-fullframe-lz4,3686400,526327,1,1,0,15742,1094,12917,29949
6562.350236,managed-fullframe-lz4,3686400,526247,1,1,0,13775,1072,12877,27925
6562.444401,managed-fullframe-lz4,3686400,1471147,1,1,0,40850,2835,36144,80297
6562.551080,managed-fullframe-lz4,3686400,1470854,1,1,0,47843,1206,35966,85469
6562.639937,managed-fullframe-lz4,3686400,1465043,1,1,0,44425,2429,35955,83227
6562.742338,managed-fullframe-lz4,3686400,1464840,1,1,0,43075,2181,35860,81796
6562.794392,managed-fullframe-lz4,3686400,526503,1,1,0,16876,1383,12901,31361
6562.838225,managed-fullframe-lz4,3686400,526376,1,1,0,15630,1064,12882,29774
6562.883751,managed-fullframe-lz4,3686400,526355,1,1,0,16575,1341,12940,31119
6562.928822,managed-fullframe-lz4,3686400,526375,1,1,0,16622,1053,12938,30867
6562.975060,managed-fullframe-lz4,3686400,526363,1,1,0,16728,1007,12930,30859
6563.020556,managed-fullframe-lz4,3686400,526392,1,1,0,16454,1140,13012,30808
6563.077633,managed-fullframe-lz4,3686400,526400,1,1,0,27957,1086,12907,42143
6563.130420,managed-fullframe-lz4,3686400,526446,1,1,0,24435,1159,12878,38665
6563.173082,managed-fullframe-lz4,3686400,526446,1,1,0,13604,1096,12934,27877
6563.215299,managed-fullframe-lz4,3686400,526449,1,1,0,13559,1169,12917,27841
6563.258684,managed-fullframe-lz4,3686400,526501,1,1,0,15103,1222,12895,29416
6563.308137,managed-fullframe-lz4,3686400,526474,1,1,0,20867,1157,13000,35231
6563.353411,managed-fullframe-lz4,3686400,526482,1,1,0,16702,1049,12973,30928
6563.397769,managed-fullframe-lz4,3686400,526312,1,1,0,16186,1037,12924,30354
6563.444080,managed-fullframe-lz4,3686400,526312,1,1,0,17364,1169,12926,31675
